sample	rep	unit	fq1	fq2
sample_M25	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M25-S702-S523_L001_ds.5b9c0f847c334c92939e2f1210700f16/M25_S64_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M25-S702-S523_L001_ds.5b9c0f847c334c92939e2f1210700f16/M25_S64_L001_R2_001.fastq.gz
sample_M26	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M26-S773-S593_L001_ds.8bbf0aa216b941608e87e1463ebd8f42/M26_S65_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M26-S773-S593_L001_ds.8bbf0aa216b941608e87e1463ebd8f42/M26_S65_L001_R2_001.fastq.gz
sample_M27	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M27-S749-S565_L001_ds.5dee63fe5ec244f6b7dff53e4e90f199/M27_S66_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M27-S749-S565_L001_ds.5dee63fe5ec244f6b7dff53e4e90f199/M27_S66_L001_R2_001.fastq.gz
sample_M28	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M28-S795-S517_L001_ds.c3b81e7c901949e6b00eea9e65ce59ba/M28_S67_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M28-S795-S517_L001_ds.c3b81e7c901949e6b00eea9e65ce59ba/M28_S67_L001_R2_001.fastq.gz
sample_M29	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M29-S742-S551_L001_ds.d6667bb032024411969153c4bc5e9d9c/M29_S68_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M29-S742-S551_L001_ds.d6667bb032024411969153c4bc5e9d9c/M29_S68_L001_R2_001.fastq.gz
sample_M2	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M2-S747-S524_L001_ds.193c66e50f5d4ec788439bd1d199e901/M2_S42_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M2-S747-S524_L001_ds.193c66e50f5d4ec788439bd1d199e901/M2_S42_L001_R2_001.fastq.gz
sample_M30	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M30-S727-S598_L001_ds.1a4a679a4c26409d9c17b88c20e34470/M30_S69_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M30-S727-S598_L001_ds.1a4a679a4c26409d9c17b88c20e34470/M30_S69_L001_R2_001.fastq.gz
sample_M31	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M31-S735-S554_L001_ds.25dedc12eb254efdb8994664147c635e/M31_S70_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M31-S735-S554_L001_ds.25dedc12eb254efdb8994664147c635e/M31_S70_L001_R2_001.fastq.gz
sample_M32	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M32-S797-S501_L001_ds.d43e520f1e3845db9017e41d3a23b939/M32_S71_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M32-S797-S501_L001_ds.d43e520f1e3845db9017e41d3a23b939/M32_S71_L001_R2_001.fastq.gz
sample_M33	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M33-S763-S505_L001_ds.18d1c55df4034c88816fd74ecc06be91/M33_S72_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M33-S763-S505_L001_ds.18d1c55df4034c88816fd74ecc06be91/M33_S72_L001_R2_001.fastq.gz
sample_M34	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M34-S714-S520_L001_ds.1a6dace04e604126af15aec071b7d887/M34_S73_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M34-S714-S520_L001_ds.1a6dace04e604126af15aec071b7d887/M34_S73_L001_R2_001.fastq.gz
sample_M35	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M35-S784-S541_L001_ds.c5e21306db3449538736c285db641154/M35_S74_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M35-S784-S541_L001_ds.c5e21306db3449538736c285db641154/M35_S74_L001_R2_001.fastq.gz
sample_M36	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M36-S758-S568_L001_ds.55bef2f93d8b479fb7a94772e923d51e/M36_S75_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M36-S758-S568_L001_ds.55bef2f93d8b479fb7a94772e923d51e/M36_S75_L001_R2_001.fastq.gz
sample_M37	rep1	lane1	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M37-S753-S548_L001_ds.b31ecd873d6346f088f148e0ce99f778/M37_S76_L001_R1_001.fastq.gz	/blue/peter/share/MeJA_time_course/iseq_trial/iSeq-NS2158-BPG61606-1227-pool/M37-S753-S548_L001_ds.b31ecd873d6346f088f148e0ce99f778/M37_S76_L001_R2_001.fastq.gz
